product_name_langs,product_name_texts,additives_n,complete,completeness,created_t,ingredients_from_palm_oil_n,ingredients_n,ingredients_percent_analysis,ingredients_with_specified_percent_n,ingredients_with_unspecified_percent_n,ingredients_without_ciqual_codes_n,known_ingredients_n,last_modified_t,last_updated_t,nova_group,popularity_key,rev,unknown_ingredients_n,schema_version,prediction
main | en,Tnt Exploding Candy | Tnt Exploding Candy,1.0,0.0,0.6000000238418579,1.489135178E9,0.0,6.0,1.0,0.0,6.0,4.0,12.0,1.740179851E9,1.740179851E9,4.0,0.0,4.0,1.0,999.0,1
main | en | fr,Curiously Strong Mints | Curiously Strong Mints | Curiously Strong Mints,1.0,0.0,0.887499988079071,1.380709913E9,0.0,7.0,1.0,0.0,6.0,4.0,7.0,1.774461986E9,1.774461986E9,4.0,2.1900000001E10,34.0,0.0,1003.0,1
main | en,"Baking Powder, Double Acting | Baking Powder, Double Acting",2.0,0.0,0.7875000238418579,1.489143346E9,0.0,3.0,1.0,0.0,3.0,2.0,3.0,1.774462019E9,1.774462019E9,3.0,2.0900000001E10,22.0,0.0,1003.0,1
main | en,Honey Mustard | Honey Mustard,9.0,0.0,0.6000000238418579,1.489062694E9,0.0,31.0,1.0,0.0,25.0,13.0,40.0,1.740180604E9,1.740180604E9,4.0,1.0,6.0,1.0,999.0,0
main | en,"Sparking Water, Lemon Lime | Sparking Water, Lemon Lime",5.0,0.0,0.4000000059604645,1.489071843E9,0.0,8.0,1.0,0.0,7.0,7.0,10.0,1.550522035E9,1.707490481E9,4.0,0.0,2.0,0.0,999.0,1
main | en,Banana Cream Pie | Banana Cream Pie,3.0,0.0,0.6000000238418579,1.489138584E9,0.0,16.0,1.0,0.0,16.0,6.0,35.0,1.740180992E9,1.740180992E9,4.0,0.0,5.0,2.0,999.0,1
main | en,dr. k | dr. k,3.0,0.0,0.574999988079071,1.489143452E9,0.0,8.0,1.0,0.0,7.0,6.0,8.0,1.758767707E9,1.758767707E9,4.0,13.0,8.0,0.0,1002.0,1
main | en,Guancamole Flavored Dip | Guancamole Flavored Dip,16.0,0.0,0.6000000238418579,1.489063444E9,0.0,43.0,1.0,0.0,40.0,24.0,71.0,1.740181589E9,1.740181589E9,4.0,0.0,4.0,3.0,999.0,0
main | en,Cut Green Beans And Shellie Beans | Cut Green Beans And Shellie Beans,0.0,0.0,0.6000000238418579,1.489061302E9,0.0,6.0,1.0,0.0,5.0,3.0,8.0,1.740181718E9,1.740181718E9,3.0,0.0,3.0,2.0,999.0,1
main | en,Unsweetened Coconutmilk | Unsweetened Coconutmilk,4.0,0.0,0.675000011920929,1.489143593E9,0.0,12.0,1.0,0.0,12.0,10.0,12.0,1.765271707E9,1.771280089E9,4.0,12.0,28.0,0.0,1002.0,1
main | en,Loose leaf herbal tea | Loose leaf herbal tea,1.0,0.0,0.5,1.489066159E9,0.0,10.0,1.0,0.0,10.0,5.0,18.0,1.587580459E9,1.734806507E9,4.0,0.0,2.0,0.0,999.0,1
main | en,Thousand Island Fat Free Dressing | Thousand Island Fat Free Dressing,0.0,0.0,0.6000000238418579,1.489093768E9,0.0,17.0,1.0,0.0,16.0,5.0,31.0,1.740183668E9,1.740183668E9,4.0,0.0,4.0,1.0,999.0,1
